Record,Correct,Wrong,Percent,week
0-1,0,1,0,1
7-9,7,9,0.4375,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
10-6,10,6,0.625,1
9-7,9,7,0.5625,1
6-10,6,10,0.375,1
7-9,7,9,0.4375,1
7-9,7,9,0.4375,1
10-6,10,6,0.625,2
11-5,11,5,0.6875,2
9-7,9,7,0.5625,2
10-6,10,6,0.625,2
8-8,8,8,0.5,2
9-7,9,7,0.5625,2
10-6,10,6,0.625,2
10-6,10,6,0.625,2
9-7,9,7,0.5625,2
10-6,10,6,0.625,2
10-6,10,6,0.625,3
11-5,11,5,0.6875,3
13-3,13,3,0.8125,3
10-6,10,6,0.625,3
10-6,10,6,0.625,3
9-7,9,7,0.5625,3
11-5,11,5,0.6875,3
9-7,9,7,0.5625,3
9-7,9,7,0.5625,3
8-8,8,8,0.5,3
10-6,10,6,0.625,4
11-5,11,5,0.6875,4
11-5,11,5,0.6875,4
12-4,12,4,0.75,4
12-4,12,4,0.75,4
10-6,10,6,0.625,4
10-6,10,6,0.625,4
10-6,10,6,0.625,4
13-3,13,3,0.8125,4
14-2,14,2,0.875,4
7-7,7,7,0.5,5
8-6,8,6,0.5714285714285714,5
8-6,8,6,0.5714285714285714,5
9-5,9,5,0.6428571428571429,5
6-8,6,8,0.42857142857142855,5
8-6,8,6,0.5714285714285714,5
7-7,7,7,0.5,5
7-7,7,7,0.5,5
6-8,6,8,0.42857142857142855,5
7-7,7,7,0.5,5
1-0,1,0,1,6
10-5,10,5,0.6666666666666666,6
11-4,11,4,0.7333333333333333,6
10-5,10,5,0.6666666666666666,6
8-7,8,7,0.5333333333333333,6
9-6,9,6,0.6,6
10-5,10,5,0.6666666666666666,6
10-5,10,5,0.6666666666666666,6
9-6,9,6,0.6,6
7-8,7,8,0.4666666666666667,6
5-8,5,8,0.38461538461538464,7
6-7,6,7,0.46153846153846156,7
4-9,4,9,0.3076923076923077,7
4-9,4,9,0.3076923076923077,7
7-6,7,6,0.5384615384615384,7
6-7,6,7,0.46153846153846156,7
4-9,4,9,0.3076923076923077,7
4-9,4,9,0.3076923076923077,7
5-8,5,8,0.38461538461538464,7
9-4,9,4,0.6923076923076923,7
10-6,10,6,0.625,8
11-5,11,5,0.6875,8
12-4,12,4,0.75,8
10-6,10,6,0.625,8
14-2,14,2,0.875,8
9-7,9,7,0.5625,8
12-4,12,4,0.75,8
11-5,11,5,0.6875,8
12-4,12,4,0.75,8
10-6,10,6,0.625,8
7-7,7,7,0.5,9
10-4,10,4,0.7142857142857143,9
9-5,9,5,0.6428571428571429,9
9-5,9,5,0.6428571428571429,9
8-6,8,6,0.5714285714285714,9
13-1,13,1,0.9285714285714286,9
11-3,11,3,0.7857142857142857,9
9-5,9,5,0.6428571428571429,9
9-5,9,5,0.6428571428571429,9
6-8,6,8,0.42857142857142855,9
11-3,11,3,0.7857142857142857,10
7-6,7,6,0.5384615384615384,10
8-6,8,6,0.5714285714285714,10
8-6,8,6,0.5714285714285714,10
7-7,7,7,0.5,10
8-6,8,6,0.5714285714285714,10
8-6,8,6,0.5714285714285714,10
7-7,7,7,0.5,10
8-6,8,6,0.5714285714285714,10
4-10,4,10,0.2857142857142857,10
8-6,8,6,0.5714285714285714,11
7-7,7,7,0.5,11
9-5,9,5,0.6428571428571429,11
9-5,9,5,0.6428571428571429,11
8-6,8,6,0.5714285714285714,11
10-4,10,4,0.7142857142857143,11
11-3,11,3,0.7857142857142857,11
8-6,8,6,0.5714285714285714,11
9-5,9,5,0.6428571428571429,11
12-2,12,2,0.8571428571428571,11
10-6,10,6,0.625,12
11-5,11,5,0.6875,12
10-6,10,6,0.625,12
10-6,10,6,0.625,12
8-8,8,8,0.5,12
10-6,10,6,0.625,12
9-7,9,7,0.5625,12
12-4,12,4,0.75,12
12-4,12,4,0.75,12
11-5,11,5,0.6875,12
9-4,9,4,0.6923076923076923,13
7-6,7,6,0.5384615384615384,13
10-3,10,3,0.7692307692307693,13
7-6,7,6,0.5384615384615384,13
6-7,6,7,0.46153846153846156,13
9-4,9,4,0.6923076923076923,13
9-4,9,4,0.6923076923076923,13
9-4,9,4,0.6923076923076923,13
8-5,8,5,0.6153846153846154,13
6-7,6,7,0.46153846153846156,13
8-7,8,7,0.5333333333333333,14
7-8,7,8,0.4666666666666667,14
7-8,7,8,0.4666666666666667,14
9-6,9,6,0.6,14
10-5,10,5,0.6666666666666666,14
9-6,9,6,0.6,14
8-7,8,7,0.5333333333333333,14
5-10,5,10,0.3333333333333333,14
7-8,7,8,0.4666666666666667,14
7-8,7,8,0.4666666666666667,14
13-3,13,3,0.8125,15
10-6,10,6,0.625,15
11-5,11,5,0.6875,15
10-6,10,6,0.625,15
8-8,8,8,0.5,15
11-5,11,5,0.6875,15
9-7,9,7,0.5625,15
12-4,12,4,0.75,15
10-6,10,6,0.625,15
8-8,8,8,0.5,16
11-5,11,5,0.6875,16
9-7,9,7,0.5625,16
12-4,12,4,0.75,16
8-8,8,8,0.5,16
10-6,10,6,0.625,16
11-5,11,5,0.6875,16
8-8,8,8,0.5,16
8-8,8,8,0.5,16
11-5,11,5,0.6875,16
10-6,10,6,0.625,17
13-3,13,3,0.8125,17
13-3,13,3,0.8125,17
12-4,12,4,0.75,17
8-8,8,8,0.5,17
13-3,13,3,0.8125,17
12-4,12,4,0.75,17
12-4,12,4,0.75,17
10-6,10,6,0.625,17
11-5,11,5,0.6875,17
10-6,10,6,0.625,18
11-5,11,5,0.6875,18
12-4,12,4,0.75,18
12-4,12,4,0.75,18
11-5,11,5,0.6875,18
12-4,12,4,0.75,18
13-3,13,3,0.8125,18
11-5,11,5,0.6875,18
10-6,10,6,0.625,18
8-8,8,8,0.5,18
