Record,Correct,Wrong,Percent,week
0-1,0,1,0,1
9-Jul,7,9,0.4375,1
7-Sep,9,7,0.5625,1
6-Oct,10,6,0.625,1
8-Aug,8,8,0.5,1
6-Oct,10,6,0.625,1
7-Sep,9,7,0.5625,1
10-Jun,6,10,0.375,1
9-Jul,7,9,0.4375,1
9-Jul,7,9,0.4375,1
7-Aug,8,7,0.533333333,2
16-14,16,14,0.533333333,2
17-13,17,13,0.566666667,2
19-11,19,11,0.633333333,2
15-15,15,15,0.5,2
18-12,18,12,0.6,2
17-13,17,13,0.566666667,2
15-15,15,15,0.5,2
15-15,15,15,0.5,2
16-14,16,14,0.533333333,2
20-13,20,13,0.606060606,3
29-19,29,19,0.604166667,3
31-17,31,17,0.645833333,3
30-18,30,18,0.625,3
26-22,26,22,0.541666667,3
28-20,28,20,0.583333333,3
30-18,30,18,0.625,3
25-23,25,23,0.520833333,3
25-23,25,23,0.520833333,3
25-23,25,23,0.520833333,3
