Correct,Wrong,Tie,Percent,week
9,7,0,0.5625,1
7,9,0,0.4375,1
8,8,0,0.5,1
7,9,0,0.4375,1
8,8,0,0.5,1
11,5,0,0.6875,1
11,5,0,0.6875,1
7,9,0,0.4375,1
17,15,0,0.53125,2
18,14,0,0.5625,2
17,15,0,0.53125,2
14,18,0,0.4375,2
19,13,0,0.59375,2
19,13,0,0.59375,2
21,11,0,0.65625,2
18,14,0,0.5625,2
29,19,0,0.6041666666666666,3
27,21,0,0.5625,3
28,20,0,0.5833333333333334,3
25,23,0,0.5208333333333334,3
30,18,0,0.625,3
28,20,0,0.5833333333333334,3
28,20,0,0.5833333333333334,3
29,19,0,0.6041666666666666,3
39,25,0,0.609375,4
37,27,0,0.578125,4
42,22,0,0.65625,4
37,27,0,0.578125,4
43,21,0,0.671875,4
40,24,0,0.625,4
37,27,0,0.578125,4
39,25,0,0.609375,4
