Record,Correct,Wrong,Percent,week
0-1,0,1,0,1
7-9,7,9,0.4375,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
10-6,10,6,0.625,1
9-7,9,7,0.5625,1
6-10,6,10,0.375,1
7-9,7,9,0.4375,1
7-9,7,9,0.4375,1
10-7,10,7,0.5882352941176471,2
18-14,18,14,0.5625,2
18-14,18,14,0.5625,2
20-12,20,12,0.625,2
16-16,16,16,0.5,2
19-13,19,13,0.59375,2
19-13,19,13,0.59375,2
16-16,16,16,0.5,2
16-16,16,16,0.5,2
17-15,17,15,0.53125,2
20-13,20,13,0.6060606060606061,3
29-19,29,19,0.6041666666666666,3
31-17,31,17,0.6458333333333334,3
30-18,30,18,0.625,3
26-22,26,22,0.5416666666666666,3
28-20,28,20,0.5833333333333334,3
30-18,30,18,0.625,3
25-23,25,23,0.5208333333333334,3
25-23,25,23,0.5208333333333334,3
25-23,25,23,0.5208333333333334,3
30-19,30,19,0.6122448979591837,4
40-24,40,24,0.625,4
42-22,42,22,0.65625,4
42-22,42,22,0.65625,4
38-26,38,26,0.59375,4
38-26,38,26,0.59375,4
40-24,40,24,0.625,4
35-29,35,29,0.546875,4
38-26,38,26,0.59375,4
39-25,39,25,0.609375,4
