TM1,Score1,vs,TM2,Score2,week
DET,21,-,KC,20,1
ATL,24,-,CAR,10,1
WAS,20,-,ARI,16,1
CLE,24,-,CIN,3,1
BAL,25,-,HOU,9,1
JAC,31,-,IND,21,1
SF,30,-,PIT,7,1
TB,20,-,MIN,17,1
NO,16,-,TEN,15,1
GB,38,-,CHI,20,1
LAR,30,-,SEA,13,1
LV,17,-,DEN,16,1
MIA,36,-,LAC,34,1
PHI,25,-,NE,20,1
DAL,40,-,NYG,0,1
NYJ,22,-,BUF,16,1
PHI,34,-,MIN,28,2
TB,27,-,CHI,17,2
BAL,27,-,CIN,24,2
ATL,25,-,GB,24,2
IND,31,-,HOU,20,2
KC,17,-,JAC,9,2
TEN,27,-,LAC,24,2
BUF,38,-,LV,10,2
SEA,37,-,DET,31,2
SF,30,-,LAR,23,2
NYG,31,-,ARI,28,2
DAL,30,-,NYJ,10,2
WAS,35,-,DEN,33,2
MIA,24,-,NE,17,2
NO,20,-,CAR,17,2
PIT,26,-,CLE,22,2
SF,30,-,NYG,12,3
DET,20,-,ATL,6,3
BUF,37,-,WAS,3,3
MIA,70,-,DEN,20,3
HOU,37,-,JAC,17,3
IND,22,-,BAL,19,3
LAC,28,-,MIN,24,3
NE,15,-,NYJ,10,3
GB,18,-,NO,17,3
CLE,27,-,TEN,3,3
SEA,37,-,CAR,27,3
KC,41,-,CHI,10,3
ARI,28,-,DAL,16,3
PIT,23,-,LV,18,3
PHI,25,-,TB,11,3
CIN,19,-,LAR,16,3
DET,34,-,GB,20,4
JAC,23,-,ATL,7,4
TEN,27,-,CIN,3,4
BAL,28,-,CLE,3,4
DEN,31,-,CHI,28,4
LAR,29,-,IND,23,4
BUF,48,-,MIA,20,4
MIN,21,-,CAR,13,4
HOU,30,-,PIT,6,4
TB,26,-,NO,9,4
PHI,34,-,WAS,31,4
LAC,24,-,LV,17,4
SF,35,-,ARI,16,4
DAL,38,-,NE,3,4
KC,23,-,NYJ,20,4
SEA,24,-,NYG,3,4
CHI,40,-,WAS,20,5
JAC,25,-,BUF,20,5
PIT,17,-,BAL,10,5
DET,42,-,CAR,24,5
ATL,21,-,HOU,19,5
NO,34,-,NE,0,5
MIA,31,-,NYG,16,5
IND,23,-,TEN,16,5
CIN,34,-,ARI,20,5
PHI,23,-,LAR,14,5
KC,27,-,MIN,20,5
NYJ,31,-,DEN,21,5
SF,42,-,DAL,10,5
LV,17,-,GB,13,5
KC,19,-,DEN,8,6
BAL,24,-,TEN,16,6
MIA,42,-,CAR,21,6
JAC,37,-,IND,20,6
MIN,19,-,CHI,13,6
HOU,20,-,NO,13,6
CIN,17,-,SEA,13,6
CLE,19,-,SF,17,6
WAS,24,-,ATL,16,6
LV,21,-,NE,17,6
LAR,26,-,ARI,9,6
DET,20,-,TB,6,6
NYJ,20,-,PHI,14,6
BUF,14,-,NYG,9,6
DAL,20,-,LAC,17,6
JAC,31,-,NO,24,7
ATL,16,-,TB,13,7
NE,29,-,BUF,25,7
CLE,39,-,IND,38,7
BAL,38,-,DET,6,7
CHI,30,-,LV,12,7
NYG,14,-,WAS,7,7
SEA,20,-,ARI,10,7
PIT,24,-,LAR,17,7
DEN,19,-,GB,17,7
KC,31,-,LAC,17,7
PHI,31,-,MIA,17,7
MIN,22,-,SF,17,7
BUF,24,-,TB,18,8
TEN,28,-,ATL,23,8
CAR,15,-,HOU,13,8
JAC,20,-,PIT,10,8
DAL,43,-,LAR,20,8
MIN,24,-,GB,10,8
MIA,31,-,NE,17,8
NO,38,-,IND,27,8
NYJ,13,-,NYG,10,8
PHI,38,-,WAS,31,8
SEA,24,-,CLE,20,8
BAL,31,-,ARI,24,8
CIN,31,-,SF,17,8
DEN,24,-,KC,9,8
LAC,30,-,CHI,13,8
DET,26,-,LV,14,8
PIT,20,-,TEN,16,9
KC,21,-,MIA,14,9
NO,24,-,CHI,17,9
CLE,27,-,ARI,0,9
GB,20,-,LAR,3,9
MIN,31,-,ATL,28,9
BAL,37,-,SEA,3,9
HOU,39,-,TB,37,9
WAS,20,-,NE,17,9
IND,27,-,CAR,13,9
PHI,28,-,DAL,23,9
LV,30,-,NYG,6,9
CIN,24,-,BUF,18,9
LAC,27,-,NYJ,6,9
CHI,16,-,CAR,13,10
IND,10,-,NE,6,10
CLE,33,-,BAL,31,10
PIT,23,-,GB,19,10
HOU,30,-,CIN,27,10
MIN,27,-,NO,19,10
SF,34,-,JAC,3,10
TB,20,-,TEN,6,10
ARI,25,-,ATL,23,10
DET,41,-,LAC,38,10
DAL,49,-,NYG,17,10
SEA,29,-,WAS,26,10
LV,16,-,NYJ,12,10
DEN,24,-,BUF,22,10
BAL,34,-,CIN,20,11
DET,31,-,CHI,26,11
HOU,21,-,ARI,16,11
DAL,33,-,CAR,10,11
GB,23,-,LAC,20,11
MIA,20,-,LV,13,11
NYG,31,-,WAS,19,11
CLE,13,-,PIT,10,11
JAC,34,-,TEN,14,11
SF,27,-,TB,14,11
BUF,32,-,NYJ,6,11
LAR,17,-,SEA,16,11
DEN,21,-,MIN,20,11
PHI,21,-,KC,17,11
GB,29,-,DET,22,12
DAL,45,-,WAS,10,12
SF,31,-,SEA,13,12
MIA,34,-,NYJ,13,12
TEN,17,-,CAR,10,12
JAC,24,-,HOU,21,12
NYG,10,-,NE,7,12
ATL,24,-,NO,15,12
PIT,16,-,CIN,10,12
